# Gates that nothing runs, and why each is tolerated.
#
# `node tooling/gate-reachability/check.mjs` fails in BOTH directions: a gate
# that becomes unreachable must be added here with a reason, and a listed gate
# that something runs now must be removed. The second direction is what makes
# this file shrink rather than accumulate.
#
# Regenerate the candidate list with `--count`. Do not paste its output in
# wholesale: every row needs a reason someone checked, and "REASON REQUIRED"
# is refused.
#
# Two different problems live here and the reasons distinguish them. A task
# whose *check* runs by another route is naming debt. A task whose check runs
# nowhere is a gate that protects nothing, which is what #1424 is about.
#
# task	reason
clean	Manual by design: destructive, and running it inside a gate would delete the artifacts other gates are reading.
decimal-backend-profiles	The task is unreachable and that is now the whole of it: #1428 sliced `native-toolchain-contract` per profile, so running this task's script with this profile's name runs this profile's own mutation and prints which one. Wiring it into `verify` would add its own mutation to the suite; leaving it unwired costs only the task name, because `native-toolchain-contract all` runs every profile's mutations on every verify.
default	Manual by design: the bare `task` alias for `help`, deliberately description-free so `task --list` does not show it twice.
directory-authority-contract	The task is unreachable and that is now the whole of it: #1428 sliced `native-toolchain-contract` per profile, so running this task's script with this profile's name runs this profile's own mutation and prints which one. Wiring it into `verify` would add its own mutation to the suite; leaving it unwired costs only the task name, because `native-toolchain-contract all` runs every profile's mutations on every verify.
discovery-sanitizer-reuse	Naming debt, not a hole: `discovery` runs `tests/conformance/discovery/run.sh`, which runs this task's exact script at line 339. The check runs on every verify.
emission-compiles	Not unreachable by accident: 249 seconds over 1320 tracked programs on an 8-core x86-64 Linux box, measured 2026-08-29, against a `verify` that runs in about seventeen minutes. Parallelising it was considered and rejected — `bin/kofun build` writes `<stem>.c` into one shared build/bootstrap-stage1/ directory, so concurrent builds race on output paths. Run before a change that touches emission; its ledger tests/emission/exceptions.tsv fails in both directions in the meantime. (#1539)
environment-authority-compiler-contract	The task is unreachable and that is now the whole of it: #1428 sliced `native-toolchain-contract` per profile, so running this task's script with this profile's name runs this profile's own mutation and prints which one. Wiring it into `verify` would add its own mutation to the suite; leaving it unwired costs only the task name, because `native-toolchain-contract all` runs every profile's mutations on every verify.
fixed-decimal-profile	The task is unreachable and that is now the whole of it: #1428 sliced `native-toolchain-contract` per profile, so running this task's script with this profile's name runs this profile's own mutation and prints which one. Wiring it into `verify` would add its own mutation to the suite; leaving it unwired costs only the task name, because `native-toolchain-contract all` runs every profile's mutations on every verify.
generic-proof-kernel-profile	The task is unreachable and that is now the whole of it: #1428 sliced `native-toolchain-contract` per profile, so running this task's script with this profile's name runs this profile's own mutation and prints which one. Wiring it into `verify` would add its own mutation to the suite; leaving it unwired costs only the task name, because `native-toolchain-contract all` runs every profile's mutations on every verify.
generics-execution-profile	The task is unreachable and that is now the whole of it: #1428 sliced `native-toolchain-contract` per profile, so running this task's script with this profile's name runs this profile's own mutation and prints which one. Wiring it into `verify` would add its own mutation to the suite; leaving it unwired costs only the task name, because `native-toolchain-contract all` runs every profile's mutations on every verify.
graphify-setup	Manual by design: installs tooling and writes outside the repository.
graphify-update	Manual by design: regenerates the knowledge graph, which is not evidence any gate reads.
host-process-authority-contract	The task is unreachable and that is now the whole of it: #1428 sliced `native-toolchain-contract` per profile, so running this task's script with this profile's name runs this profile's own mutation and prints which one. Wiring it into `verify` would add its own mutation to the suite; leaving it unwired costs only the task name, because `native-toolchain-contract all` runs every profile's mutations on every verify.
http-carrier-profile	The task is unreachable and that is now the whole of it: #1428 sliced `native-toolchain-contract` per profile, so running this task's script with this profile's name runs this profile's own mutation and prints which one. Wiring it into `verify` would add its own mutation to the suite; leaving it unwired costs only the task name, because `native-toolchain-contract all` runs every profile's mutations on every verify.
kif-generics-profile	The task is unreachable and that is now the whole of it: #1428 sliced `native-toolchain-contract` per profile, so running this task's script with this profile's name runs this profile's own mutation and prints which one. Wiring it into `verify` would add its own mutation to the suite; leaving it unwired costs only the task name, because `native-toolchain-contract all` runs every profile's mutations on every verify.
kif-module-trust-profile	The task is unreachable and that is now the whole of it: #1428 sliced `native-toolchain-contract` per profile, so running this task's script with this profile's name runs this profile's own mutation and prints which one. Wiring it into `verify` would add its own mutation to the suite; leaving it unwired costs only the task name, because `native-toolchain-contract all` runs every profile's mutations on every verify.
lsp	Naming debt, not a hole: `roadmap` runs `spec/roadmap-31-34/verify-current-gates.sh`, which runs `sh tests/lsp/check.sh` at line 111. The check runs on every verify; only this task name is unreachable.
preflight	Manual by design: it anticipates six gates `verify` already runs, so putting it inside `verify` would pay for each of them twice and slow the thing it exists to speed up. It is run before a commit, not by one. (#1523)
stage2-pair-coverage	Unreachable on purpose, and #1408 assigns that call to the implementer with the argument to be recorded rather than assumed. One pass rebuilds compiler.c under --coverage at -O0 and drives 157 gate drivers and 1283 pinned inputs through it, then repeats the whole thing under the second host compiler of the diverse pair; the measured cost is in the header of tests/pair-coverage/undefended.tsv, while current verify timing belongs to the exact CI run rather than a hard-coded source comment. Cadence is the second half and the deciding one: the number this holds moves when someone edits bootstrap/stage2/compiler.c, not on every commit, so wiring it into verify would charge every pull request for a measurement almost none of them can change. Run it by hand when you touch the Stage 2 pair.
