# Every forbidden core build requirement, and where this tree still requires it.
#
# The vocabulary is `forbidden_core_build_requirements` in
# spec/native-toolchain-v1/contract.json — RFC-0018, accepted 2026-08-11. This
# file never restates that list: the checker reads the contract and refuses a
# requirement there with no detector here, so a fifteenth one cannot arrive and
# quietly read as zero.
#
# `node tooling/forbidden-requirements/check.mjs` fails in BOTH directions, the
# way tests/assertions/budget.tsv and tooling/gate-reachability/unreachable.tsv
# do: a use that is not listed is a dependency that arrived unrecorded, and a
# listed row whose use is gone is an improvement that was not recorded. The
# second direction is the one that is usually missing, and this repository has
# already paid for its absence — #1213 replaced GNU `sha256sum` with
# `bin/kofun-digest`, and #1395 then found a release claim still asserting the
# removed dependency.
#
# Regenerate the rows with `--count`. Print the file set and every pattern with
# `--predicates`: a count is only meaningful with its predicate attached, and
# both halves can be too narrow at once — this repository shipped "46 gate
# scripts shell out to node" when the answer over all tracked `.sh` was 70.
#
# There is no evidence stamp on this file on purpose. Every row is re-derived
# from the tree on every run, so a row that stopped being true fails rather than
# ages. The narrative counts in #1451 and #1452 are the ones that need stamps.
#
# kind   `invoke`  a command-position invocation: the build shells out to it
#        `source`  the file is written in that language, so running it requires
#                  the tool whether or not anything invokes it by name
#        `-`       the requirement has no uses at all; count 0, path `-`. A
#                  requirement with no row would be indistinguishable from one
#                  nobody examined, so zero is stated rather than omitted.
# class  `required-today` or `removable`. `required-today` is the default and
#        claims nothing; `removable` is a claim someone checked. The checker
#        reports the split, so this ledger measures the gap and not only the
#        surface.
#
# What is deliberately outside the scanned file set, and why it is not hidden:
# `*.c`/`*.h` require a C compiler and contain no line that invokes one, so the
# checker prints their total as a NOTE instead of pretending it counted them.
#
# need   Derived, not chosen — the answer to the question B6 and B7 are stated
#        in terms of: must an independent builder obtain this to run
#        `task verify`? A count of uses is not that number, and the two differ
#        in both directions.
#
#          `required`  on the verify path, and not skippable
#          `optional`  on the verify path, but every use sits behind an
#                      availability guard whose failure branch skips
#          `off-path`  every task naming the file is one nothing runs
#          `unknown`   the rules could not tell
#
#        It is stored AND recomputed, so a hand-edited value is not a
#        preference — it is a claim the tree contradicts. That is what keeps
#        this from being a suppression list: `bin/kofun`'s `cc` rows cannot be
#        moved to `optional`, because its invocations are unguarded.
#
#        `unknown` is a value and never a default. A rule that resolved its
#        hard cases downward would shrink the headline for the reason least
#        connected to the tree. Twenty rows are `unknown` today and the
#        summary prints the number even when it is zero.
#
# What #1459 was filed to fix, and what it found instead: it assumed
# `examples/rust-shim`'s `cargo` and `rustc` were the permitted
# `allowed_external_boundary` misfiled as core requirements. They are not.
# `examples/rust-shim/check.sh` exits 1 without them and `rust-shim` is in the
# verify list, so `task verify` hard-requires a Rust toolchain. One of the
# three rows it named — `scripts/graphify.sh`'s `python` — is genuinely off the
# build path, and the `need` column is how that is now said.
#
# unknown-ceiling: 31
#
# The bound on `unknown`, checked in BOTH directions like
# tests/assertions/budget.tsv: over it is a use the rules could not classify
# arriving as an ordinary row, under it is an improvement that was not
# recorded. Raising it is a deliberate edit with a reason, in the same commit
# as the row that needed it.
#
# It exists because the two directions of this column are not equally safe. A
# rule that *stops working* fails loudly — removing one of the four naming
# rules in reach.mjs moves 39 rows into `unknown` and each one contradicts its
# stored value by name. A use *arriving* unclassifiable produces a new row, and
# a new row is the ordinary flow (#1474).
#
# requirement	kind	count	class	need	path
cc	invoke	11	required-today	required	bin/kofun
cc	invoke	1	required-today	required	bin/kofun-digest
cc	invoke	3	required-today	required	bootstrap/c_abi/check.sh
cc	invoke	4	required-today	required	bootstrap/native/check.sh
cc	invoke	1	required-today	required	bootstrap/selfhost/build-a1-a2.sh
cc	invoke	5	required-today	required	bootstrap/selfhost/c11/check-c11.sh
cc	invoke	12	required-today	required	bootstrap/selfhost/check-compiler-driver.sh
cc	invoke	2	required-today	required	bootstrap/selfhost/check-diverse-double-compilation-refusals.sh
cc	invoke	2	required-today	required	bootstrap/selfhost/check-driver-diagnostics.sh
cc	invoke	6	required-today	required	bootstrap/selfhost/check-profile.sh
cc	invoke	4	required-today	required	bootstrap/selfhost/frontend/check-frontend.sh
cc	invoke	5	required-today	required	bootstrap/selfhost/generations-lib.sh
cc	invoke	2	required-today	required	bootstrap/selfhost/native/check-native-corpus.sh
cc	invoke	1	required-today	required	bootstrap/stage1/build.sh
cc	invoke	11	required-today	required	bootstrap/stage1/check.sh
cc	invoke	1	required-today	required	bootstrap/stage2/build.sh
cc	invoke	14	required-today	required	bootstrap/stage2/check.sh
cc	invoke	1	required-today	required	bootstrap/stage2/fuzz-sanitizer-cc-wrapper.sh
cc	invoke	2	required-today	required	bootstrap/stage2/fuzz-sanitizer-object.sh
cc	invoke	8	required-today	required	bootstrap/stage2/semantic-objects.sh
cc	invoke	1	required-today	required	bootstrap/stage2/verify-cc-wrapper.sh
cc	invoke	2	required-today	required	bootstrap/wasm/check.sh
cc	invoke	3	required-today	required	bootstrap/wasm/object_arena_check.sh
cc	invoke	1	required-today	unknown	examples/rust-shim/benchmark.sh
cc	invoke	1	required-today	required	examples/rust-shim/check.sh
cc	invoke	7	required-today	required	framework/cli/check.sh
cc	invoke	1	required-today	required	framework/http/build.sh
cc	invoke	1	required-today	required	framework/tui/build.sh
cc	invoke	2	required-today	required	framework/tui/check.sh
cc	invoke	1	required-today	required	spec/kif-generics-v1/check.mjs
cc	invoke	1	required-today	required	spec/roadmap-31-34/verify-current-gates.sh
cc	invoke	1	required-today	required	stdlib/date_time/tests/verify.sh
cc	invoke	1	required-today	required	stdlib/random/tests/verify.sh
cc	invoke	2	required-today	required	tests/artifact-qualification/check.sh
cc	invoke	1	required-today	required	tests/build_system.sh
cc	invoke	5	required-today	optional	tests/conformance/adt-exhaustiveness/run.sh
cc	invoke	7	required-today	optional	tests/conformance/adt-usefulness-v2/run.sh
cc	invoke	2	required-today	required	tests/conformance/adt/run.sh
cc	invoke	1	required-today	required	tests/conformance/aggregate-bridge/run.sh
cc	invoke	1	required-today	required	tests/conformance/backends/c11-stage1.sh
cc	invoke	1	required-today	required	tests/conformance/backends/c11-stage2.sh
cc	invoke	2	required-today	required	tests/conformance/call-arguments/run.sh
cc	invoke	5	required-today	required	tests/conformance/codegen/dense-enum-dispatch/run.sh
cc	invoke	6	required-today	required	tests/conformance/const-generics/run.sh
cc	invoke	4	required-today	required	tests/conformance/decimal/run.sh
cc	invoke	10	required-today	required	tests/conformance/discovery/run.sh
cc	invoke	1	required-today	required	tests/conformance/discovery/sanitizer-cc-wrapper.sh
cc	invoke	2	required-today	required	tests/conformance/discovery/sanitizer-objects.sh
cc	invoke	4	required-today	required	tests/conformance/effects/pure-boundary/run.sh
cc	invoke	1	required-today	required	tests/conformance/effects/pure-io/run.sh
cc	invoke	3	required-today	required	tests/conformance/generics/run.sh
cc	invoke	4	required-today	required	tests/conformance/incremental/run.sh
cc	invoke	3	required-today	required	tests/conformance/inference/hm-levels/run.sh
cc	invoke	2	required-today	required	tests/conformance/int-bits/run.sh
cc	invoke	1	required-today	required	tests/conformance/modules/confusable-visible-set/run.sh
cc	invoke	6	required-today	required	tests/conformance/modules/import-aliases/run.sh
cc	invoke	6	required-today	required	tests/conformance/modules/imports-qualified/run.sh
cc	invoke	5	required-today	optional	tests/conformance/modules/imports-selective/run.sh
cc	invoke	5	required-today	required	tests/conformance/modules/kif-v1/run.sh
cc	invoke	3	required-today	required	tests/conformance/modules/lexical-scopes/run.sh
cc	invoke	1	required-today	required	tests/conformance/modules/raw-imports/run.sh
cc	invoke	1	required-today	required	tests/conformance/modules/raw-re-exports/run.sh
