# Every source set this repository still compiles more than once in one full
# verify run, and why.
#
# `task compile-census` reads the completed census `verify-runner.sh` produces
# and fails in BOTH directions: a family that starts repeating must be added
# here, and one that stops must be removed. The second direction is what makes
# this file shrink rather than accumulate, and it is how #1205's migrations
# stay migrated.
#
# The key is codegen-affecting flags, `-D` macros, and the sorted source set.
# It is not the argv: argv contains `-o <path>`, which is unique per gate, so
# it reports two identical objects as different work. #1205's own census
# measured the two keys 9x apart on one run -- 1.8% against 16.0% -- and
# reported the understating one first. Both are still reported side by side,
# and the gate asserts the count under this key.
#
# MEASURE ON A CLEAN `build/`. `bin/kofun` builds `kofun-module-resolver` into
# `build/module-resolver` and reuses it across runs, so a warm build directory
# is missing that compile and the family it belongs to is one short. Measured:
# warm 61 repeats, clean 62, same tree. The gate detects the condition -- the
# compile is either in the census or it is not -- and skips its assertion with
# that reason rather than telling you to lower a ceiling that is correct. CI
# starts clean on every run, so the assertion always has somewhere it runs.
#
# Compiles of run-scoped sources are excluded: `mktemp` mutants and trees
# unpacked into `build/.../.sufficient.<pid>/` carry a fresh path every run, so
# each is its own family by construction and a row naming one would be stale
# the moment it was written.
#
# `count` is the number of compiles in the measured run. `reason` names the
# gate scripts that mention the family's rarest source, which is what explains
# the repetition; it is a derivation, not an accounting of `count`.
#
# Regenerate the candidate list with
# `KOFUN_COMPILE_CENSUS_LOG=<census> node tooling/compile-census/check.mjs --regenerate`.
# It cannot emit a reasonless row; if it emits `NO OWNER FOUND`, find the gate.
#
# Measured on `origin/main@007ce7b6` with a clean `build/`: 147 invocations,
# 128 compiles of tracked sources, 10 of run-scoped sources, 9 pure links, 12
# codegen profiles, 0 failures. 66 distinct families, 62 repeats.
#
# What is left is not object redundancy of the kind #1205 removed. Every row is
# a gate compiling its own driver together with the shared sources, and the
# shared sources are already objects -- the repetition is the driver's, and
# removing it means not running the gate twice rather than not compiling the
# source twice.
#
# repeated-ceiling: 62
#
# count	profile	macros	sources	reason
4	-O0 -fanalyzer	-	bootstrap/stage2/imports_selective.c	compiled by 2 gates: tests/conformance/modules/import-aliases/run.sh tests/conformance/modules/imports-selective/run.sh
4	-O1 -fno-omit-frame-pointer -fsanitize=address,undefined -g	-	bootstrap/stage2/imports_selective.c bootstrap/stage2/kif_v1.c bootstrap/stage2/sha256.c bootstrap/stage2/visibility_access.c unicode/kofun_unicode.c	compiled by 2 gates: tests/conformance/modules/import-aliases/run.sh tests/conformance/modules/imports-selective/run.sh
2	-O0 -fanalyzer	-	bootstrap/stage2/re_exports.c	compiled by 2 gates: tests/conformance/modules/raw-re-exports/run.sh tests/conformance/modules/re-exports/run.sh
3	-O0 -fanalyzer	-	bootstrap/stage2/kif_v1_tool.c	compiled by 6 gates: tests/artifact-qualification/check.sh tests/conformance/incremental/run.sh tests/conformance/modules/kif-v1/run.sh tests/conformance/modules/re-exports/run.sh tests/conformance/modules/stage2-kif-producer/run.sh tests/tooling/verify-object-reuse/check.sh
8	-O2	-	bootstrap/stage2/kif_v1_tool.c	compiled by 6 gates: tests/artifact-qualification/check.sh tests/conformance/incremental/run.sh tests/conformance/modules/kif-v1/run.sh tests/conformance/modules/re-exports/run.sh tests/conformance/modules/stage2-kif-producer/run.sh tests/tooling/verify-object-reuse/check.sh
2	-O1 -fno-omit-frame-pointer -fsanitize=address,undefined -g	-	bootstrap/stage2/kif_v1.c bootstrap/stage2/re_exports.c bootstrap/stage2/sha256.c bootstrap/stage2/visibility_access.c unicode/kofun_unicode.c	compiled by 2 gates: tests/conformance/modules/raw-re-exports/run.sh tests/conformance/modules/re-exports/run.sh
7	-	-DKOFUN_TEST_DIAGNOSTIC_FAULTS	bootstrap/stage2/imports_qualified.c bootstrap/stage2/kif_v1.c bootstrap/stage2/sha256.c bootstrap/stage2/visibility_access.c unicode/kofun_unicode.c	compiled by 4 gates: tests/conformance/modules/import-aliases/run.sh tests/conformance/modules/imports-qualified/run.sh tests/conformance/modules/raw-imports/run.sh tests/modules/inventory/check.sh
3	-O1 -fno-omit-frame-pointer -fsanitize=address,undefined -g	-	bootstrap/stage2/kif_v1.c bootstrap/stage2/sha256.c tests/conformance/modules/kif-v1/codec_test.c unicode/kofun_unicode.c	compiled once per case by tests/conformance/modules/kif-v1/run.sh
9	-	-	bootstrap/stage2/module_symbols.c bootstrap/stage2/sha256.c unicode/kofun_unicode.c	compiled by 4 gates: tests/conformance/adt-exhaustiveness/run.sh tests/conformance/modules/imports-qualified/run.sh tests/conformance/modules/raw-imports/run.sh tests/conformance/modules/top-level-declarations/run.sh
2	-O2	-DRE_EXPORT_GRAPH_WORK_LIMIT=1	bootstrap/stage2/kif_v1.c bootstrap/stage2/re_exports.c bootstrap/stage2/sha256.c bootstrap/stage2/visibility_access.c unicode/kofun_unicode.c	compiled by 2 gates: tests/conformance/modules/raw-re-exports/run.sh tests/conformance/modules/re-exports/run.sh
